epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,9336.13,0.35387,1.77065,1.02658,0.58529,0.56407,0.62847,0.58773,0.41029,1.26773,0.70231,0.000496,0.000496,0.000496
58,9495.8,0.35126,1.76067,1.02136,0.56608,0.55253,0.63277,0.58335,0.44839,1.27156,0.77526,0.000487,0.000487,0.000487
59,9659.96,0.35528,1.77162,1.02452,0.4812,0.56531,0.62041,0.57038,0.44275,1.29468,0.72647,0.000478,0.000478,0.000478
60,9825.95,0.35486,1.73,1.02327,0.5787,0.55864,0.64228,0.59589,0.38139,1.19035,0.69353,0.000469,0.000469,0.000469
61,9994.43,0.35426,1.7122,1.02371,0.55195,0.60327,0.66198,0.6215,0.38949,1.24142,0.72589,0.00046,0.00046,0.00046
62,10151.2,0.34144,1.70825,1.01529,0.58966,0.60416,0.66853,0.61466,0.37153,1.20508,0.69459,0.000451,0.000451,0.000451
63,10319,0.34033,1.7171,1.01591,0.50813,0.64754,0.65578,0.62165,0.40079,1.18868,0.7325,0.000442,0.000442,0.000442
64,10502.1,0.33956,1.68547,1.01482,0.57448,0.56179,0.64231,0.6072,0.38731,1.19277,0.73765,0.000433,0.000433,0.000433
65,10721.3,0.31802,1.65778,1.00505,0.52296,0.60852,0.66362,0.63048,0.35852,1.19025,0.66213,0.000424,0.000424,0.000424
66,10897.6,0.3406,1.67019,1.01553,0.67638,0.53221,0.65096,0.60445,0.39637,1.16234,0.73811,0.000415,0.000415,0.000415
67,11060.5,0.32972,1.62981,1.00744,0.54139,0.58552,0.65102,0.62111,0.33819,1.16813,0.67137,0.000406,0.000406,0.000406
68,11231.3,0.33119,1.63722,1.01447,0.6265,0.59688,0.68628,0.6361,0.4073,1.17222,0.70877,0.000397,0.000397,0.000397
69,11397.8,0.32787,1.59256,1.01025,0.54437,0.64767,0.67444,0.63305,0.39476,1.16283,0.72952,0.000388,0.000388,0.000388
70,11579.6,0.33594,1.62972,1.01312,0.5708,0.62963,0.69284,0.65147,0.38892,1.11267,0.71365,0.000379,0.000379,0.000379
71,11768,0.33588,1.62407,1.01415,0.56208,0.63966,0.69222,0.64592,0.40601,1.10993,0.69628,0.00037,0.00037,0.00037
72,11943.7,0.33539,1.6109,1.01554,0.59938,0.60667,0.68716,0.63961,0.424,1.0831,0.76333,0.000361,0.000361,0.000361
